id,nbr_children,career,shopping_price
981,5,Librarian,411
982,4,Executive Secretary,476
983,4,Librarian,151
984,5,Senior Cost Accountant,209
985,0,Help Desk Technician,438
986,1,Mechanical Systems Engineer,409
987,2,Senior Financial Analyst,298
988,2,Database Administrator IV,268
989,5,VP Product Management,405
990,2,Social Worker,360
991,4,Statistician IV,458
992,2,Chemical Engineer,312
993,0,Research Associate,405
994,2,Structural Analysis Engineer,441
995,0,General Manager,183
996,5,Health Coach IV,202
997,0,Geological Engineer,432
998,1,Chemical Engineer,364
999,5,Tax Accountant,284
1000,4,Design Engineer,252
